1	48000000	52000000	1
2	86000000	100500000	1
2	134500000	138000000	1
2	183000000	190000000	1
3	47500000	50000000	1
3	83500000	87000000	1
3	89000000	97500000	1
5	44500000	50500000	1
5	98000000	100500000	1
5	129000000	132000000	1
5	135500000	138500000	1
6	25000000	35000000	1
6	57000000	64000000	1
6	140000000	142500000	1
7	55000000	66000000	1
8	7000000	13000000	1
8	43000000	50000000	1
8	112000000	115000000	1
10	37000000	43000000	1
11	46000000	57000000	1
11	87500000	90500000	1
12	33000000	40000000	1
12	109500000	112000000	1
20	32000000	34500000	1
