1	48000000	52000000	highld
2	86000000	100500000	highld
2	134500000	138000000	highld
2	183000000	190000000	highld
3	47500000	50000000	highld
3	83500000	87000000	highld
3	89000000	97500000	highld
5	44500000	50500000	highld
5	98000000	100500000	highld
5	129000000	132000000	highld
5	135500000	138500000	highld
6	25000000	35000000	highld
6	57000000	64000000	highld
6	140000000	142500000	highld
7	55000000	66000000	highld
8	7000000	13000000	highld
8	43000000	50000000	highld
8	112000000	115000000	highld
10	37000000	43000000	highld
11	46000000	57000000	highld
11	87500000	90500000	highld
12	33000000	40000000	highld
12	109500000	112000000	highld
20	32000000	34500000	highld
